"ï..creation_date","line_number","quantity","org_id","ITEM_KEY","invoice_date","Line.Net.Sales...Local","Line.Net.Sales","line_total_cost_functional","line_total_cost_corp","Line.Prime.Cost...Local","Line.Prime.Cost","corp_exch","map_corp_exch","functionalcurr","Line.Gross.Sales...Local","Line.Gross.Sales","Line.Total.Discount...Local","Line.Total.Discount","transactionalcurrency","standardpricelistcurr","dsn","CUSTOMER_KEY","service_type","invoice_number","ORDER_NUMBER","ORDER_TYPE_ID","SourceTable","ORDER_STATUS","EM_KEY","Operational_Revenue","Operational_Revenue_Corp","Operational_Prime_Cost","Operational_Prime_Cost_corp","Operational_standard_cost","Operational_standard_cost_Corp","BMS.Order.Type.Code","Item.Number","Item.Description","User.Item.Type","BRAND_FRANCHISE_PRODUCT","PRICE_GROUP","CUSTOMER_NAME","CUSTOMER_NUMBER","CUSTOMER_TYPE","POSTAL_CODE","STATE","COUNTRY","INTERNAL_CUSTOMER_FLAG","BMS.Receivable.Type.Code","ï..creation_date.1","line_number.1","quantity.1","org_id.1","ITEM_KEY.1","invoice_date.1","Line.Net.Sales...Local.1","Line.Net.Sales.1","line_total_cost_functional.1","line_total_cost_corp.1","Line.Prime.Cost...Local.1","Line.Prime.Cost.1","corp_exch.1","map_corp_exch.1","functionalcurr.1","Line.Gross.Sales...Local.1","Line.Gross.Sales.1","Line.Total.Discount...Local.1","Line.Total.Discount.1","transactionalcurrency.1","standardpricelistcurr.1","dsn.1","CUSTOMER_KEY.1","service_type.1","invoice_number.1","ORDER_NUMBER.1","ORDER_TYPE_ID.1","SourceTable.1","ORDER_STATUS.1","EM_KEY.1","Operational_Revenue.1","Operational_Revenue_Corp.1","Operational_Prime_Cost.1","Operational_Prime_Cost_corp.1","Operational_standard_cost.1","Operational_standard_cost_Corp.1","BMS.Order.Type.Code.1","Item.Number.1","Item.Description.1","User.Item.Type.1","BRAND_FRANCHISE_PRODUCT.1","PRICE_GROUP.1","CUSTOMER_NAME.1","CUSTOMER_NUMBER.1","CUSTOMER_TYPE.1","POSTAL_CODE.1","STATE.1","COUNTRY.1","INTERNAL_CUSTOMER_FLAG.1","BMS.Receivable.Type.Code.1"
1,1,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4,1,1,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4
1,1,1,54,238,4,32420.43,32420.43,27022,27022,27022,27022,1,1,2,30515,30515,3493,3493,2,2,11,49,2,6467,2413464,52,2,2,-1,32420.43,32420.43,27022,27022,27022,27022,1,182,25,75,10,5,11,48,4,118,24,2,1,4,1,1,1,54,238,4,32420.43,32420.43,27022,27022,27022,27022,1,1,2,30515,30515,3493,3493,2,2,11,49,2,6467,2413464,52,2,2,-1,32420.43,32420.43,27022,27022,27022,27022,1,182,25,75,10,5,11,48,4,118,24,2,1,4
1,1,1,9,345,4,32868,32868,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,2,117,1,75547,169746,20,1,1,-1,32868,32868,0,0,0,0,1,257,160,79,10,2,118,117,2,19,37,2,1,2,1,1,1,9,345,4,32868,32868,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,2,117,1,75547,169746,20,1,1,-1,32868,32868,0,0,0,0,1,257,160,79,10,2,118,117,2,19,37,2,1,2
1,1,1,55,83,4,3061,3061,2397,2397,2397,2397,1,1,2,2397,2397,0,0,2,2,11,153,2,4594,138053,37,2,2,-1,3061,3061,2397,2397,2397,2397,1,66,37,74,10,2,160,153,4,6,48,2,1,4,1,1,1,55,83,4,3061,3061,2397,2397,2397,2397,1,1,2,2397,2397,0,0,2,2,11,153,2,4594,138053,37,2,2,-1,3061,3061,2397,2397,2397,2397,1,66,37,74,10,2,160,153,4,6,48,2,1,4
1,1,1,64,134,4,10906,8419.671119,1016.5,784.760287,1016.5,784.760287,0.772021925,0.772021925,1,1016.5,784.760287,0,0,1,1,13,142,2,46874,1261051,15,2,2,-1,10906,8419.671119,1016.5,784.760287,1016.5,784.760287,1,94,50,25,10,2,215,142,1,60,1,1,1,1,1,1,1,64,134,4,10906,8419.671119,1016.5,784.760287,1016.5,784.760287,0.772021925,0.772021925,1,1016.5,784.760287,0,0,1,1,13,142,2,46874,1261051,15,2,2,-1,10906,8419.671119,1016.5,784.760287,1016.5,784.760287,1,94,50,25,10,2,215,142,1,60,1,1,1,1
1,2,1,3,409,4,4952.8,4952.8,4358.47,4358.47,4358.47,4358.47,1,1,2,4358.47,4358.47,0,0,2,2,1,189,2,11780,9344,19,2,2,-1,4952.8,4952.8,4358.47,4358.47,4358.47,4358.47,1,298,244,134,10,2,149,189,14,9,9,2,1,14,1,2,1,3,409,4,4952.8,4952.8,4358.47,4358.47,4358.47,4358.47,1,1,2,4358.47,4358.47,0,0,2,2,1,189,2,11780,9344,19,2,2,-1,4952.8,4952.8,4358.47,4358.47,4358.47,4358.47,1,298,244,134,10,2,149,189,14,9,9,2,1,14
1,1,3,55,225,4,5052,5052,4041,4041,4041,4041,1,1,2,6735,6735,2694,2694,2,2,11,153,2,4592,138623,37,2,2,-1,5052,5052,4041,4041,4041,4041,1,173,263,110,10,7,160,153,4,6,48,2,1,4,1,1,3,55,225,4,5052,5052,4041,4041,4041,4041,1,1,2,6735,6735,2694,2694,2,2,11,153,2,4592,138623,37,2,2,-1,5052,5052,4041,4041,4041,4041,1,173,263,110,10,7,160,153,4,6,48,2,1,4
1,1,1,7,200,4,4704.87,4704.87,3381,3381,3381,3381,1,1,2,5635,5635,2254,2254,2,2,2,118,2,23883,114004,30,2,2,-1,4704.87,4704.87,3381,3381,3381,3381,1,156,290,104,10,5,124,118,5,92,37,2,1,5,1,1,1,7,200,4,4704.87,4704.87,3381,3381,3381,3381,1,1,2,5635,5635,2254,2254,2,2,2,118,2,23883,114004,30,2,2,-1,4704.87,4704.87,3381,3381,3381,3381,1,156,290,104,10,5,124,118,5,92,37,2,1,5
1,1,-1,24,106,4,-330,-330,0,0,0,0,1,1,2,0,0,0,0,2,2,5,46,2,70079,20441,23,2,2,-1,-330,-330,0,0,0,0,1,80,42,21,10,2,19,45,3,165,5,2,1,3,1,1,-1,24,106,4,-330,-330,0,0,0,0,1,1,2,0,0,0,0,2,2,5,46,2,70079,20441,23,2,2,-1,-330,-330,0,0,0,0,1,80,42,21,10,2,19,45,3,165,5,2,1,3
1,1,1,42,307,4,22414,22414,19952,19952,19952,19952,1,1,2,0,0,-19952,-19952,2,2,8,53,2,65865,237890,26,2,2,-1,22414,22414,19952,19952,19952,19952,1,226,9,97,10,2,142,52,5,126,33,2,1,5,1,1,1,42,307,4,22414,22414,19952,19952,19952,19952,1,1,2,0,0,-19952,-19952,2,2,8,53,2,65865,237890,26,2,2,-1,22414,22414,19952,19952,19952,19952,1,226,9,97,10,2,142,52,5,126,33,2,1,5
