soi_line_type_id,soi_ordered_quantity,soi_quantity_invoiced,soi_quantity,soi_line_id,soi_org_id,soi_header_id,soi_ordered_item,soi_item_key,soi_invoice_date,soi_line_net_sales_functional,soi_line_net_sales_corp,soi_line_total_cost_functional,soi_line_total_cost_corp,soi_line_prime_cost_func,soi_line_prime_cost_corp,soi_dsn,soi_customer_key,soi_ucortp,soi_invoice_number,soi_order_number,soi_order_type_id,soi_order_status,soi_lob_l1_key,soi_lob_l2_key,soi_em_key,soi_brand_franchise_product,soi_price_level_code,soi_code_desc,soi_location_code,soi_location_name,soi_location_name_city_state,soi_discount_multiplier,soi_operational_revenue,soi_operational_revenue_corp,soi_operational_prime_cost,soi_operational_prime_cost_corp,soi_operational_standard_cost,soi_operational_standard_cost_corp,soi_grosssaleslocal,soi_grosssalescorp,soi_totaldiscountlocal,soi_totaldiscountcorp,itm_item_key,itm_organization_id,itm_item.description,itm_item.number,itm_user.item.type,itm_brand_franchise_product,itm_price_group,itm_dsn,cust_customer_id,cust_customer_name,cust_customer_number,cust_customer_key,cust_customer_type,cust_city,cust_postal_code,cust_state,cust_country,cust_internal_customer_flag,cust_dsn,cust_bmsreceivabletypecode,cust_primary.segment,cust_bmspricematrixname,cust_bmsdefaultpricelevel,org_name,org_code,org_division,org_org6...branch,ord_typ_order_type_id,ord_typ_order_type,eng_em_key
3,1,1,1,22966,23,11045,294,395,871,59,59,35.4,35.4,35.4,35.4,4,1313,23,88661,1065102,30,1,33,30,-1,16,1,7,100,30,30,0,59,59,35.4,35.4,35.4,35.4,35.4,35.4,0,0,395,4,2107,294,795,11,18,4,1313,2615,1299,1313,18,70,1272,24,2,1,4,17,20,79,20,30,23,4,30,30,37,-1
2,-1,-1,-1,25419,32,12420,2357,3078,496,-27156,-27156,-10575,-10575,-10575,-10575,4,363,22,46695,163157,29,1,32,34,-1,17,11,7,806,7,7,0,-27156,-27156,-10575,-10575,-10575,-10575,-10575,-10575,0,0,3078,4,2150,2357,1278,11,5,4,363,2125,349,363,18,854,391,51,2,1,4,17,20,79,20,8,32,4,4,29,40,-1
3,-1,-1,-1,12080,7,5197,924,1192,636,-4365.4,-4365.4,0,0,0,0,2,3005,2,66625,93622,6,1,1,28,-1,16,3,1,26,15,15,0,-4365.4,-4365.4,0,0,0,0,0,0,0,0,1192,2,889,924,877,11,5,2,3004,1716,2991,3005,8,807,1705,18,2,1,2,8,20,68,5,15,7,2,15,6,7,-1
3,1,1,1,12728,7,5486,1211,1618,225,8910,8910,8011,8011,8011,8011,2,1875,1,68519,94723,2,1,1,28,-1,16,3,1,26,15,15,0,8910,8910,8011,8011,8011,8011,0,0,-8011,-8011,1618,2,545,1211,88,11,5,2,1875,2015,1863,1875,8,278,1675,18,2,1,2,8,10,68,5,15,7,2,15,2,41,-1
2,1,1,1,37303,32,20294,1942,2533,190,62864,62864,53780.15,53780.15,53780.15,53780.15,4,1022,36,96842,189945,47,1,41,34,-1,17,11,7,806,7,7,0,62864,62864,53780.15,53780.15,53780.15,53780.15,53780.15,53780.15,0,0,2533,4,1494,1942,904,11,5,4,1022,728,1008,1022,9,153,16,39,2,2,4,9,20,12,22,8,32,4,4,47,14,-1
2,1,1,1,30597,32,15734,2357,3078,1040,3676.43,3676.43,3235.26,3235.26,3235.26,3235.26,4,1024,30,69786,173337,38,1,37,34,-1,17,11,7,806,7,7,0,3676.43,3676.43,3235.26,3235.26,3235.26,3235.26,3235.26,3235.26,0,0,3078,4,2150,2357,1278,11,5,4,1024,2051,1010,1024,18,700,932,26,2,1,4,17,20,79,20,8,32,4,4,38,5,-1
2,1,1,1,26329,32,13001,1961,2560,815,46172,46172,39246,39246,39246,39246,4,296,30,50840,165029,38,1,37,34,-1,17,11,7,806,7,7,0,46172,46172,39246,39246,39246,39246,39246,39246,0,0,2560,4,1534,1961,924,11,5,4,296,1017,282,296,2,771,571,51,2,1,4,2,21,79,20,8,32,4,4,38,5,-1
3,6,6,6,22925,23,11020,234,298,778,47.7,47.7,41.34,41.34,41.34,41.34,4,2808,23,83070,1061735,30,1,33,30,-1,16,3,1,100,30,30,0,47.7,47.7,41.34,41.34,41.34,41.34,41.34,41.34,0,0,298,4,1100,234,878,11,18,4,2807,257,2794,2808,18,915,1265,8,2,1,4,17,20,65,9,30,23,4,30,30,37,-1
2,1,1,1,35979,32,19315,2357,3078,227,3303.73,3303.73,2907.29,2907.29,2907.29,2907.29,4,2713,26,86791,184086,34,1,35,34,-1,17,11,7,806,7,7,0,3303.73,3303.73,2907.29,2907.29,2907.29,2907.29,2907.29,2907.29,0,0,3078,4,2150,2357,1278,11,5,4,2712,2708,2700,2713,18,1194,528,51,2,1,4,17,20,35,9,8,32,4,4,34,6,-1
2,1,1,1,27249,32,13616,2357,3078,194,2870,2870,2011.46,2011.46,2011.46,2011.46,4,135,26,55372,166921,34,1,35,34,-1,17,11,7,806,7,7,0,2870,2870,2011.46,2011.46,2011.46,2011.46,2011.46,2011.46,0,0,3078,4,2150,2357,1278,11,5,4,135,1855,121,135,18,1088,999,14,2,1,4,17,20,79,20,8,32,4,4,34,6,-1
