"","soi_ordered_quantity","soi_line_net_sales_functional","soi_line_total_cost_functional","soi_line_prime_cost_corp","soi_ucortp","soi_lob_l2_key","soi_code_desc","soi_location_code","soi_totaldiscountlocal","soi_totaldiscountcorp","itm_item_key","itm_organization_id","cust_customer_id","cust_customer_number","cust_customer_key","cust_dsn","cust_bmsreceivabletypecode","eng_em_key"
"1330",1,10104,7459,7459,31,29,8,80,5171,5171,196,3,21,7,21,3,17,-1
"1331",1,0,0,0,26,34,7,806,0,0,3078,4,135,121,135,4,17,-1
"1332",1,189,161.4,161.4,45,30,7,1,0,0,1771,4,1921,1910,1921,4,17,-1
"1333",1,232,173.4,173.4,43,30,7,1,0,0,1044,4,614,600,614,4,17,-1
"1334",2,9.08,6.8,6.8,23,30,1,100,0,0,730,4,2807,2794,2808,4,17,-1
"1335",1,9134,7307,7307,7,30,2,806,0,0,198,4,281,267,281,4,17,-1
"1336",60,252,189,189,23,30,1,100,0,0,729,4,2807,2794,2808,4,17,-1
"1337",1,0,0,0,43,30,7,1,0,0,648,4,1326,1312,1326,4,17,-1
"1338",1,20287,17609,17609,26,34,7,806,0,0,2560,4,368,354,368,4,17,-1
"1339",1,0,0,0,31,29,8,80,0,0,939,3,2041,2028,2041,3,17,-1
"1340",1,186.4,139.8,139.8,21,29,1,80,93.2,93.2,1524,3,2211,2199,2212,3,4,-1
"1341",1,0,0,0,30,34,7,806,0,0,2560,4,555,541,555,4,17,-1
"1342",1,0,0,0,26,34,7,806,0,0,2560,4,135,121,135,4,17,-1
"1343",1,38565.18,33879.5,33879.5,30,34,7,1,0,0,2560,4,1351,1337,1351,4,17,-1
"1344",1,599,556.92,556.92,45,30,7,1,535.08,535.08,1561,4,1283,1269,1283,4,17,-1
"1345",1,625.62,557,557,20,29,4,80,148,148,1560,3,2330,2318,2331,3,4,-1
"1346",2,138.6,118.8,118.8,1,27,1,3,100.98,100.98,769,1,2563,2551,2564,1,17,-1
"1347",1,8625.84,6158,6158,31,29,4,80,4422,4422,1214,3,1938,1927,1938,3,17,-1
"1348",1,67218,59151.84,59151.84,36,34,7,806,0,0,2533,4,1012,998,1012,4,9,-1
"1349",1,6065.9,4998.7,4998.7,30,34,7,806,0,0,3078,4,444,430,444,4,2,-1
"1350",1,8216,5977,5977,31,29,1,80,4293,4293,1256,3,2375,2363,2376,3,17,-1
"1351",1,365,318,318,30,34,7,806,0,0,2196,4,36,22,36,4,17,-1
"1352",1,1231,1231,1231,26,34,7,806,0,0,3078,4,221,207,221,4,17,-1
"1353",1,3743.01,3481,3481,21,29,1,80,2919,2919,1513,3,2330,2318,2331,3,4,-1
"1354",1,8566.2,6845,6845,41,30,2,806,0,0,138,4,789,775,789,4,17,-1
"1355",1,2772,2079,2079,31,29,8,80,1386,1386,828,3,2291,2279,2292,3,17,-1
"1356",1,513.18,477,477,1,28,1,26,-477,-477,2956,2,1875,1863,1875,2,8,-1
"1357",1,9718.93,8261,8261,19,30,7,1,0,0,1720,4,1286,1272,1286,4,17,-1
"1358",1,22,17.4,17.4,43,30,7,1,0,0,365,4,595,581,595,4,17,-1
"1359",1,0,0,0,21,29,1,80,0,0,1623,3,2428,2416,2429,3,4,-1
"1360",1,2467.77,2058,2058,31,29,8,80,1407,1407,828,3,2041,2028,2041,3,17,-1
"1361",15,330,261,261,6,30,7,1,0,0,365,4,1433,1419,1433,4,17,-1
"1362",1,530,477,477,15,30,7,806,0,0,2961,4,509,495,509,4,17,-1
"1363",1,0,0,0,26,34,7,806,0,0,2560,4,387,373,387,4,17,-1
"1364",1,598.87,557,557,1,28,1,26,-557,-557,2950,2,3044,3031,3045,2,8,-1
"1365",1,0,0,0,26,34,7,1,0,0,2560,4,280,266,280,4,2,-1
"1366",1,0,0,0,1,29,6,80,0,0,1194,3,2403,2391,2404,3,10,-1
"1367",1,2882,1993,1993,1,30,2,400,0,0,831,4,1550,1536,1550,4,17,-1
"1368",1,38,24,24,1,28,2,26,16,16,1379,2,3085,3072,3086,2,17,-1
