,ï..creation_date,line_number,quantity,org_id,ITEM_KEY,invoice_date,Line.Net.Sales...Local,Line.Net.Sales,map_transactional,line_total_cost_functional,line_total_cost_corp,Line.Prime.Cost...Local,Line.Prime.Cost,corp_exch,map_corp_exch,functionalcurr,Line.Gross.Sales...Local,Line.Gross.Sales,Line.Total.Discount...Local,Line.Total.Discount,transactionalcurrency,standardpricelistcurr,dsn,CUSTOMER_KEY,service_type,invoice_number,ORDER_NUMBER,ORDER_TYPE_ID,SourceTable,ORDER_STATUS,Serial_Number,EM_KEY,Operational_Revenue,Operational_Revenue_Corp,Operational_Prime_Cost,Operational_Prime_Cost_corp,Operational_standard_cost,Operational_standard_cost_Corp,BMS.Project.Number,BMS.Order.Type.Code,Item.Number,Item.Description,User.Item.Type,BRAND_FRANCHISE_PRODUCT,ECC,ECC.Engine.Model,ECC.Engine.Range,SEGMENT_TYPE,Print.Part.Number,Long.Part.Number,Filtration.Prod.Class,Filtration.Prod.Group,Filtration.Prod.Family,PVC.Code,ECC.Code.Major,ECC.Code.Minor,SPC.Code.Major,SPC.Code.Interm,SPC.Code.Minor,Brand.Major,Brand.Minor,WPT.Major,WPT.Minor,VENDOR_ITEM.,PRICE_GROUP,Displacement.Liters,CUSTOMER_NAME,CUSTOMER_NUMBER,CUSTOMER_TYPE,POSTAL_CODE,STATE,COUNTRY,INTERNAL_CUSTOMER_FLAG,BMS.Receivable.Type.Code
23655,1,6,1,83,4028,68,240.0,240.0,315.68,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,8,3774,2,33657,1115145,73,2,2,4241.5,-1,240.0,240.0,0.0,0.0,0.0,0.0,69214,1,2125,1673,1038,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,917,3722,27,2028,5,3,1,27
11844,1,17,1,27,2187,40,221.48,221.48,315.68,182.47,182.47,182.47,182.47,1.0,1.0,2,182.47,182.47,0.0,0.0,2,2,4,2903,2,5702,348915,82,2,2,4241.5,-1,221.48,221.48,182.47,182.47,182.47,182.47,13595,1,1293,2087,1363,26,10,4,2,1,476,477,10,7,5,14,9,3,11,15,14,3,2,4,5,362,22,1,2830,2858,6,496,57,3,1,6
196,1,1,1,22,2780,1,4168.48,4168.48,5732.0,3439.0,3439.0,3439.0,3439.0,1.0,1.0,2,5732.0,5732.0,2293.0,2293.0,2,2,3,3023,2,12193,2084946,120,2,2,2318.0,-1,4168.48,4168.48,3439.0,3439.0,3439.0,3439.0,13595,1,1511,1236,1136,26,18,4,2,1,668,669,10,7,5,17,3,1,2,2,2,3,2,4,5,544,16,1,1861,2977,7,829,48,3,1,7
4397,1,2,1,70,706,6,27.67,27.67,36.31,20.4,20.4,20.4,20.4,1.0,1.0,2,36.31,36.31,15.91,15.91,2,2,8,3889,2,20496,993893,8,2,2,4241.5,-1,27.67,27.67,20.4,20.4,20.4,20.4,13595,1,393,2933,1363,26,18,4,2,1,93,92,10,7,5,15,3,1,14,2,2,3,2,4,5,87,22,1,1762,3837,21,682,8,3,1,21
22882,1,3,1,132,2826,70,2339.91,2339.91,3620.52,2034.0,2034.0,2034.0,2034.0,1.0,1.0,2,3620.52,3620.52,1586.52,1586.52,2,2,12,2546,2,324,271345,89,2,2,6665.0,-1,2339.91,2339.91,2034.0,2034.0,2034.0,2034.0,13595,1,1520,554,1336,26,18,4,2,1,674,675,10,7,5,17,3,1,11,15,14,3,2,4,5,552,6,1,2226,2504,5,631,48,3,1,5
21471,1,1,1,148,1322,69,2599.0,2599.0,0.0,2079.0,2079.0,2079.0,2079.0,1.0,1.0,2,0.0,0.0,-2079.0,-2079.0,2,2,12,763,2,13851,2420761,89,2,2,7362.0,-1,2599.0,2599.0,2079.0,2079.0,2079.0,2079.0,13595,1,725,2274,1336,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,263,6,1,625,730,5,203,19,3,1,5
19499,1,1,1,70,5362,73,4689.65,4689.65,315.68,4080.0,4080.0,4080.0,4080.0,1.0,1.0,2,4080.0,4080.0,0.0,0.0,2,2,8,3837,2,37684,967589,73,2,2,4241.5,-1,4689.65,4689.65,4080.0,4080.0,4080.0,4080.0,68686,1,2976,2900,1839,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,1424,3785,27,1031,8,3,1,27
13125,1,1,1,158,2832,42,2542.0,2542.0,3465.0,2079.0,2079.0,2079.0,2079.0,1.0,1.0,2,3465.0,3465.0,1386.0,1386.0,2,2,12,1590,2,2371,1090078,89,2,2,1731.0,-1,2542.0,2542.0,2079.0,2079.0,2079.0,2079.0,13595,1,1521,555,936,26,18,4,2,1,675,676,10,7,5,17,3,1,11,15,14,3,2,4,5,553,16,1,2778,1552,6,874,36,3,1,6
8686,1,1,1,32,4563,18,1670.0,1670.0,315.68,1419.21,1419.21,1419.21,1419.21,1.0,1.0,2,1419.21,1419.21,0.0,0.0,2,2,4,2991,2,1533,384601,69,2,2,4241.5,-1,1670.0,1670.0,1419.21,1419.21,1419.21,1419.21,570,1,2537,2309,1450,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,2857,2945,3,1444,44,3,1,3
23233,1,1,1,151,4602,79,3309.18,3309.18,315.68,2182.44,2182.44,2182.44,2182.44,1.0,1.0,2,2182.44,2182.44,0.0,0.0,2,2,12,4001,2,7212,141191,76,2,2,4241.5,-1,3309.18,3309.18,2182.44,2182.44,2182.44,2182.44,10367,1,2540,2989,1871,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,3099,3949,3,2202,62,3,1,3
